book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
347,121749,121749,3348636,348,000720230X,9780007202300.0,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng,3.96,250221,273069,4737,2399,12145,68026,101461,89038,https://images.gr-assets.com/books/1308814880m/121749.jpg,https://images.gr-assets.com/books/1308814880s/121749.jpg,0
362,11149,17383917,2920952,231,60652896,9780060652890.0,C.S. Lewis,1942.0,A Grief Observed,The Screwtape Letters,eng,4.21,116277,238169,8285,4524,8925,34444,75279,114997,https://images.gr-assets.com/books/1347801873m/11149.jpg,https://images.gr-assets.com/books/1347801873s/11149.jpg,0
368,119324,119324,1570229,55,679879250,9780679879250.0,Philip Pullman,1997.0,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,242503,270785,6139,3905,11486,47802,96998,110594,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg,0
371,350,350,908211,130,441788386,9780441788380.0,Robert A. Heinlein,1961.0,Stranger in a Strange Land,Stranger in a Strange Land,eng,3.91,220301,229222,6293,10416,16204,45343,69937,87322,https://images.gr-assets.com/books/1156897088m/350.jpg,https://images.gr-assets.com/books/1156897088s/350.jpg,0
387,17250,17250,1426723,133,142437336,9780142437340.0,"Arthur Miller, Christopher Bigsby",1953.0,The Crucible,The Crucible,eng,3.55,242980,253242,5390,9010,29173,80661,83304,51094,https://images.gr-assets.com/books/1447764813m/17250.jpg,https://images.gr-assets.com/books/1447764813s/17250.jpg,0
410,37781,37781,825843,161,385474547,9780385474540.0,Chinua Achebe,1958.0,Things Fall Apart,"Things Fall Apart (The African Trilogy, #1)",en-US,3.61,199346,213360,9884,9494,22041,59144,74584,48097,https://images.gr-assets.com/books/1352082529m/37781.jpg,https://images.gr-assets.com/books/1352082529s/37781.jpg,0
412,567795,23878688,832090,147,1881273156,9781881273160.0,Gary Chapman,1990.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US,4.23,165675,195438,7647,2672,6275,29306,63108,94077,https://images.gr-assets.com/books/1369401342m/567795.jpg,https://images.gr-assets.com/books/1369401342s/567795.jpg,0
424,119073,119073,3138328,428,156001314,9780156001310.0,"Umberto Eco, William Weaver, Seán Barrett",1980.0,Il nome della rosa,The Name of the Rose,en-US,4.11,200217,224974,6075,4575,10031,36282,79311,94775,https://images.gr-assets.com/books/1415375471m/119073.jpg,https://images.gr-assets.com/books/1415375471s/119073.jpg,0
442,830,830,493634,80,553380958,9780553380960.0,Neal Stephenson,1992.0,Snow Crash,Snow Crash,eng,4.02,175883,187292,7075,7982,10158,29605,61336,78211,https://images.gr-assets.com/books/1477624625m/830.jpg,https://images.gr-assets.com/books/1477624625s/830.jpg,0
448,56495,56495,2265235,149,310276993,9780310277000.0,Rick Warren,2002.0,The Purpose Driven Life: What on Earth am I Here For?,The Purpose Driven Life: What on Earth Am I Here for?,en-US,3.9,170491,176463,2755,9635,13051,34305,48395,71077,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
464,1923820,1923820,6405906,1449,,,Anonymous,1611.0,,Holy Bible: King James Version,eng,4.43,159457,171594,4438,10011,6802,11712,14338,128731,https://images.gr-assets.com/books/1313518530m/1923820.jpg,https://images.gr-assets.com/books/1313518530s/1923820.jpg,0
470,17851885,17851885,24987300,129,316322407,9780316322410.0,"Malala Yousafzai, Christina Lamb",2012.0,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng,4.06,214412,227850,14667,7433,9470,38518,77944,94485,https://images.gr-assets.com/books/1375414895m/17851885.jpg,https://images.gr-assets.com/books/1375414895s/17851885.jpg,0
472,4069,4069,3389674,187,080701429X,9780807014300.0,Viktor E. Frankl,1946.0,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng,4.33,171281,193751,10147,2161,4948,23224,59644,103774,https://images.gr-assets.com/books/1467136625m/4069.jpg,https://images.gr-assets.com/books/1467136625s/4069.jpg,0
474,14743,14743,3044365,104,618680004,9780618680010.0,Richard Dawkins,2006.0,The God Delusion,The God Delusion,eng,3.89,162740,176774,6812,9571,11019,31723,60769,63692,https://images.gr-assets.com/books/1347220693m/14743.jpg,https://images.gr-assets.com/books/1347220693s/14743.jpg,0
480,18122,18122,1774510,42,440238153,9780440238160.0,Philip Pullman,2000.0,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng,4.06,192315,217610,6693,4739,11883,39131,70648,91209,https://images.gr-assets.com/books/1329189152m/18122.jpg,https://images.gr-assets.com/books/1329189152s/18122.jpg,0
483,5113,5113,3118417,125,316769029,9780316769020.0,J.D. Salinger,1961.0,Franny and Zooey,Franny and Zooey,en-US,3.98,152906,162697,5297,2841,9398,34950,56515,58993,https://images.gr-assets.com/books/1355037988m/5113.jpg,https://images.gr-assets.com/books/1355037988s/5113.jpg,0
485,4934,4934,3393910,1072,374528373,9780374528380.0,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880.0,Братья Карамазовы,The Brothers Karamazov,eng,4.3,155838,178135,7640,2339,5887,22752,51450,95707,https://images.gr-assets.com/books/1427728126m/4934.jpg,https://images.gr-assets.com/books/1427728126s/4934.jpg,0
489,2547,2547,2938937,721,000100039X,9780001000390.0,Kahlil Gibran,1923.0,The Prophet,The Prophet,eng,4.22,142641,164552,6263,2748,6601,24667,47472,83064,https://images.gr-assets.com/books/1355046521m/2547.jpg,https://images.gr-assets.com/books/1355046521s/2547.jpg,0
490,15196,15196,1947012,37,394541553,9780394541560.0,Art Spiegelman,1985.0,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng,4.35,184007,191615,4837,2822,4801,21104,56900,105988,https://images.gr-assets.com/books/1327884972m/15196.jpg,https://images.gr-assets.com/books/1327884972s/15196.jpg,0
492,7967,7967,2327777,99,812550757,9780812550760.0,Orson Scott Card,1986.0,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US,4.04,164287,182764,6579,1855,8031,36323,70924,65631,https://images.gr-assets.com/books/1295660894m/7967.jpg,https://images.gr-assets.com/books/1295660894s/7967.jpg,0
493,11138,11138,801500,152,684823780,9780684823780.0,C.S. Lewis,1952.0,Mere Christianity,Mere Christianity,eng,4.31,184759,198433,6041,4215,6220,23223,54958,109817,https://images.gr-assets.com/books/1468102872m/11138.jpg,https://images.gr-assets.com/books/1468102872s/11138.jpg,0
504,11422,11422,820210,63,1590525132,9781590525140.0,Francine Rivers,1991.0,,Redeeming Love,eng,4.48,157506,163637,9147,2949,4277,13328,33009,110074,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
513,561909,561909,878114,83,553256696,9780553256700.0,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971.0,The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US,4.42,171384,178722,7801,2958,3872,17731,44665,109496,https://images.gr-assets.com/books/1320418824m/561909.jpg,https://images.gr-assets.com/books/1320418824s/561909.jpg,0
542,84119,84119,3294501,280,439861365,9780439861370.0,C.S. Lewis,1954.0,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng,3.9,189671,209180,4913,2752,13751,54684,68114,69879,https://images.gr-assets.com/books/1388210968m/84119.jpg,https://images.gr-assets.com/books/1388210968s/84119.jpg,0
546,629,629,175720,181,60589469,9780060589460.0,Robert M. Pirsig,1974.0,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng,3.76,139411,153992,6535,6589,14196,36227,49874,47106,https://images.gr-assets.com/books/1410136019m/629.jpg,https://images.gr-assets.com/books/1410136019s/629.jpg,0
576,19380,19380,2833018,1039,486266893,9780486266890.0,Voltaire,1759.0,Candide,Candide,eng,3.76,151471,171617,5504,4906,14285,45693,59709,47024,https://images.gr-assets.com/books/1345060082m/19380.jpg,https://images.gr-assets.com/books/1345060082s/19380.jpg,0
592,117833,117833,876183,586,679760806,9780679760800.0,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",1967.0,Мастер и Маргарита,The Master and Margarita,eng,4.32,131389,156780,7365,2428,5647,18910,42164,87631,https://images.gr-assets.com/books/1327867963m/117833.jpg,https://images.gr-assets.com/books/1327867963s/117833.jpg,0
602,65641,65641,1419727,257,64405044,9780064405040.0,"C.S. Lewis, Pauline Baynes",1953.0,The Silver Chair,"The Silver Chair (Chronicles of Narnia, #4)",eng,3.95,170453,185348,3391,1580,9479,47180,65697,61412,https://images.gr-assets.com/books/1336139237m/65641.jpg,https://images.gr-assets.com/books/1336139237s/65641.jpg,0
603,2767793,2767793,2793516,63,765316897,9780765316900.0,Brandon Sanderson,2008.0,The Hero of Ages,"The Hero of Ages (Mistborn, #3)",eng,4.46,143622,161085,9111,596,2257,14291,49628,94313,https://images.gr-assets.com/books/1480717763m/2767793.jpg,https://images.gr-assets.com/books/1480717763s/2767793.jpg,0
606,71728,71728,1743336,278,743278909,9780743278900.0,"Richard Bach, Russell Munson",1970.0,Jonathan Livingston Seagull,Jonathan Livingston Seagull,en-US,3.8,133728,150767,5501,6169,13796,34951,44689,51162,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
616,14864,14864,3375925,65,743275012,9780743275020.0,Jodi Picoult,2000.0,Plain Truth,Plain Truth,eng,3.97,128406,138814,6231,1123,5518,32571,57131,42471,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
620,402045,402045,806813,103,345350499,9780345350500.0,Marion Zimmer Bradley,1982.0,The Mists of Avalon,"The Mists of Avalon (Avalon, #1)",eng,4.12,157736,163331,5582,3469,7966,27551,51373,72972,https://images.gr-assets.com/books/1388857089m/402045.jpg,https://images.gr-assets.com/books/1388857089s/402045.jpg,0
621,37732,37732,4121,75,689841582,9780689841580.0,Judy Blume,1970.0,"Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret",eng,3.89,151789,162083,5168,3588,10014,40314,55092,53075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
635,10959,10959,4432325,239,1857993284,9781857993290.0,"Jostein Gaarder, Paulette Møller",1991.0,Sofies Verden,Sophie's World,eng,3.88,109692,143393,7652,3975,9949,32355,50286,46828,https://images.gr-assets.com/books/1343459906m/10959.jpg,https://images.gr-assets.com/books/1343459906s/10959.jpg,0
641,84369,84369,1059917,245,7202326,9780007202320.0,C.S. Lewis,1956.0,The Last Battle,"The Last Battle (Chronicles of Narnia, #7)",eng,4.02,158701,174641,4156,3501,10243,35440,54778,70679,https://images.gr-assets.com/books/1308814830m/84369.jpg,https://images.gr-assets.com/books/1308814830s/84369.jpg,0
642,5064,5064,2845518,2,525950079,9780525950070.0,Ken Follett,2007.0,World Without End,"World Without End (The Kingsbridge Series, #2)",eng,4.23,128715,145292,9392,1212,4241,20508,53074,66257,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
646,2696,2696,986234,634,140424385,9780140424390.0,"Geoffrey Chaucer, Nevill Coghill",1390.0,Tales of Caunterbury,The Canterbury Tales,eng,3.48,148480,158661,2615,6795,19618,52875,48893,30480,https://images.gr-assets.com/books/1261208589m/2696.jpg,https://images.gr-assets.com/books/1261208589s/2696.jpg,0
650,46787,46787,2478635,1075,1840224029,9781840224020.0,Harriet Beecher Stowe,1852.0,Uncle Tom's Cabin or Life Among the Lowly,Uncle Tom's Cabin,eng,3.83,137858,155559,5696,3732,11754,39559,52344,48170,https://images.gr-assets.com/books/1414349231m/46787.jpg,https://images.gr-assets.com/books/1414349231s/46787.jpg,0
688,10847,10847,1723947,37,330419129,9780330419120.0,Jon Krakauer,2003.0,Under the Banner of Heaven: A Story of Violent Faith,Under the Banner of Heaven: A Story of Violent Faith,eng,3.98,112167,123697,8947,1958,5259,25101,52050,39329,https://images.gr-assets.com/books/1356441391m/10847.jpg,https://images.gr-assets.com/books/1356441391s/10847.jpg,0
719,76334,76334,2567181,45,452287588,9780452287590.0,Eckhart Tolle,2005.0,A New Earth: Awakening to Your Life's Purpose,A New Earth: Awakening to Your Life's Purpose,eng,4.02,106211,113457,5862,4424,7162,19384,32949,49538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
729,77566,77566,1383900,107,553283685,9780553283690.0,Dan Simmons,1989.0,Hyperion,"Hyperion (Hyperion Cantos, #1)",eng,4.21,122225,130489,5640,2284,5503,18329,41131,63242,https://images.gr-assets.com/books/1405546838m/77566.jpg,https://images.gr-assets.com/books/1405546838s/77566.jpg,0
731,179780,179780,1945267,1,61007226,9780061007220.0,William Peter Blatty,1971.0,The Exorcist,The Exorcist,en-US,4.14,124467,130575,2850,2211,4877,22809,43470,57208,https://images.gr-assets.com/books/1375168676m/179780.jpg,https://images.gr-assets.com/books/1375168676s/179780.jpg,0
743,28881,28881,3346728,51,380813815,9780380813810.0,Christopher Moore,2002.0,"Lamb: The Gospel According to Biff, Christ's Childhood Pal","Lamb: The Gospel According to Biff, Christ's Childhood Pal",en-US,4.26,118576,125861,10411,2392,4578,16179,37102,65610,https://images.gr-assets.com/books/1331419009m/28881.jpg,https://images.gr-assets.com/books/1331419009s/28881.jpg,0
744,6708,6708,840520,153,1577314808,9781577314810.0,Eckhart Tolle,1997.0,The Power of Now,The Power of Now: A Guide to Spiritual Enlightenment,eng,4.1,104549,112730,5376,3440,6131,17848,33175,52136,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
765,92057,92057,47400,105,345350685,9780345350690.0,"Malcolm X, Alex Haley",1965.0,The Autobiography of Malcolm X,The Autobiography of Malcolm X,eng,4.29,124805,131773,3951,2453,3362,16312,41019,68627,https://images.gr-assets.com/books/1434682864m/92057.jpg,https://images.gr-assets.com/books/1434682864s/92057.jpg,0
772,30289,30289,1625515,842,140449140,9780140449140.0,"Plato, Desmond Lee",-380.0,Πολιτεία,The Republic,eng,3.9,110274,122747,2261,2772,7531,29394,42284,40766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
790,6596,6596,376130,82,1878424505,9781878424500.0,Miguel Ruiz,1997.0,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",The Four Agreements: A Practical Guide to Personal Freedom,,4.12,97016,112472,6132,2463,5818,19047,33836,51308,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
797,3206011,3206011,3239458,44,1434768511,9781434768510.0,"Francis Chan, Danae Yankoski, Chris Tomlin",2008.0,Crazy Love: Overwhelmed by a Relentless God,Crazy Love: Overwhelmed by a Relentless God,eng,4.15,106351,109134,3011,2800,4867,16969,32636,51862,https://images.gr-assets.com/books/1328763220m/3206011.jpg,https://images.gr-assets.com/books/1328763220s/3206011.jpg,0
816,6101138,6101138,6278354,2,7230206,9780007230200.0,Hilary Mantel,2009.0,Wolf Hall,"Wolf Hall (Thomas Cromwell, #1)",eng,3.85,102936,118705,12827,6673,9916,21464,37421,43231,https://images.gr-assets.com/books/1336576165m/6101138.jpg,https://images.gr-assets.com/books/1336576165s/6101138.jpg,0
828,9516,9516,3303888,39,037571457X,9780375714570.0,"Marjane Satrapi, Mattias Ripa",2000.0,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",eng,4.23,117103,119965,6588,1138,3121,16734,45474,53498,https://images.gr-assets.com/books/1425871473m/9516.jpg,https://images.gr-assets.com/books/1425871473s/9516.jpg,0
