record number,Price,Market Cap,Free Float Market Cap %,6m ADV,RoE %,RoCE %,EBIT Margin %,EPS,PAT %,Stock Return %
31,8.34E-05,0.0026891,0.73383828,0.03339607,0.44121391,0.5348981,0.62393029,0.03124836,0.30736762,0.08499554
32,0.00108184,0.00049827,0.25186687,1.67E-05,0.4758018,0.4878955,0.3165552,0.00336546,0.3115562,0.09585826
33,8.34E-05,0.00079431,0.94271389,0.00137411,0.01032999,0.47905357,0.43142968,0.11619851,0.31364243,0.05522479
34,0.00168674,0.000217,0.31256667,1.95E-05,0.41882177,0.50079703,0.43134543,0.01165772,0.31387379,0.0719297
35,0.00030827,0.00167121,0.31854064,0.00092033,0.28279331,0.49196871,0.43618755,0.0109924,0.31476137,0.09773849
36,0.00013184,0.0001809,0.30968637,0.00013875,0.34559514,0.46308667,0.36678668,0.13901339,0.31566348,0.05458193
37,0.00031796,0.00035957,0.58160871,5.05E-06,0,0.3844209,0.35098185,0.07048384,0.31836343,0.1188197
38,0.00085888,0.00127196,0.48762535,0.00994479,0.37035372,0.47657937,0.38996816,0.01134061,0.32235344,0.22798074
39,0.00031214,0.00056008,0.528163,0.00121173,0,0.43552494,0.39694623,0.10682717,0.33356705,0.12453139
40,0.00202021,0.0004369,0.22679753,5.04E-05,0.45170762,0.51235589,0.5328525,0.01262614,0.3381021,0.1004221
41,0.00047694,0.00045608,0.5194154,0.00039529,0.36658092,0.41862377,0.36113137,0.00729147,0.34129666,0.20491277
42,0.0001551,0.00020899,0.36889268,0.00021243,0.26089503,0.49353661,0.47082975,0.12049068,0.34488247,0.06254691
43,0.00131837,0.00130708,0.48335823,0.00218696,0,1,0.56693742,0.03262402,0.34754798,0.0964313
44,8.92E-05,0.0002543,0.38617453,0.00012981,0.48058289,0.50141548,0.38956041,0.00483541,0.35195263,0.09283781
45,0.00041393,0.00183254,0.268722,1.20E-06,0,0.28611462,0.37438269,0.01004435,0.35222022,0.11533552
46,0.00047015,0.00015298,0.61510561,0.00021359,0.39453129,0.48540935,0.41329506,0.01720885,0.35381282,0.05969919
47,0.00131837,0.00085415,0.27714956,0.00115977,0.26754302,0.4784922,0.42110721,0.04655351,0.35617013,0.26192437
48,0.00023556,0.01676864,0.34275656,0.03491049,0.34452448,0.50933185,0.54112406,0.01321061,0.35636863,0.10299361
49,0.00010469,0.00200447,0.4212716,0.00437679,0.32288853,0.5040225,0.51839064,0.03716946,0.36303182,0.08020834
50,0.00027918,0.00370393,0.72242373,0.00943305,0.18599494,0.48829698,0.45301245,0.03001318,0.36537423,0.098887
51,0.00013087,0.00055011,0.38500107,0.00073156,0,0.51213389,0.5350414,0.01285743,0.36794395,0.06849212
52,6.30E-05,0.00030361,0.79293791,8.37E-05,0.10100607,0.49030195,0.45724639,0.0516652,0.36895341,0.07477001
53,0.00416159,0.00053249,0.31213996,4.49E-05,0.36567907,0.50383836,0.50904328,0.01230192,0.37137513,0.22525957
54,0.00042459,0.00013204,0.21826328,0.00012873,0.29586066,0.48894058,0.46827746,0.04382655,0.37198727,0.03178541
55,0.00594914,0.01685547,0.27757628,0.02380405,0.33387516,0.34184255,0.36407994,0.00018929,0.37247773,0.12440612
56,0.00057,0.00018547,0.52048219,7.27E-05,0.45574349,0.49566425,0.46717623,0.02034345,0.37394215,0.07245391
57,0.0004149,0.00021666,0.29763175,0.00050737,0.34178574,0.43757251,0.41385299,0.01853951,0.37682224,0.04133725
58,0.00037903,0.00145461,0.60827822,0.00688441,0,0.4821027,0.42920923,0.1188219,0.37848612,0.08771126
59,0.00082398,0.00061754,0.42308513,0.00672484,0,0.35390924,0.40121043,0.01982934,0.380248,0.13773968
60,0.0006049,0.0011168,0.50149349,0.00408828,0.37914958,0.44599209,0.40614214,0.01351407,0.38566089,0.11963589
61,6.79E-05,0.00233914,0.24738639,0.00260514,0,0.50905012,0.5305418,0.0980533,0.38642977,0.06586251
62,0.00010954,0.00259378,0.20098144,0.00243751,0.38456298,0.50412697,0.49688875,0.02728403,0.39383212,0.09628589
63,0.00018535,0.00248164,0.35225091,0.00011132,0.23605452,0.36259173,0.40180912,0.00155574,0.39576294,0.14986502
64,0.00033541,0.00041636,0.33880947,0.00018564,0,0.49266007,0.47411335,0.07301779,0.40172026,0.13583725
65,0.002502,0.00062709,0.89470877,0.00165088,0.23767042,0.41457274,0.41614644,0.00536285,0.40481633,0.31750208
66,0.00051669,0.00206729,0.03989759,0.00029969,0.21433131,0.29402579,0.44977979,0.02337611,0.40519445,0.14606699
67,0.00116133,0.00232034,0.60102411,0.00441717,0.42125864,0.49079743,0.42430711,0.00868392,0.40601587,0.13275583
68,0.000475,0.00109432,0.73042458,0.00070191,0.37965582,0.49494699,0.47034555,0.07201029,0.40693349,0.09530835
69,0.0024099,0.00033797,0.34510348,2.52E-06,0.41725816,0.52113878,0.59447506,0.00739782,0.40760351,0.25779533
70,0.00017546,0.00020522,0.44250053,0.00091698,0.18164056,0.47473577,0.46803933,0.09356936,0.41062833,0.03493052
71,0.00055061,0.00055344,0.59643695,0.02794182,0.18624422,0.5674158,0.49791284,0.05039784,0.41124517,0.05504613
72,0.00193781,0.00123854,0.57414124,0.00306101,0.33990879,0.48608674,0.4770626,0.00752247,0.41335377,0.18531245
73,0.0001774,0.00029407,0.44954128,0.00012689,0,0.48472049,0.47553104,0.12119195,0.41416987,0.1286049
74,0.00027046,0.00087264,0.40932366,0.00148064,0.49046422,0.51621001,0.41602299,0.00459603,0.41503503,0.07618913
75,0.00028597,0.00074988,0.20674205,9.24E-05,0.16397337,0.45003944,0.47649337,0.06810432,0.41602389,0.09085476
76,0.00203475,0.00051269,0.22445061,0.00086216,0.48224294,0.51530298,0.34663358,0.00420392,0.42009636,0.14687757
77,0.00266776,0.00358319,0.43866012,0.02765041,0,0.49105891,0.48347653,0.03333639,0.42077043,0.15931906
78,0.00013765,0.00047091,0.26616172,0.00052333,0.38929289,0.5266356,0.4986499,0.01404705,0.42229216,0.09475768
79,0.00242541,0.0016938,0.20396842,0.00128169,0.39231817,0.49978078,0.48300325,0.00986976,0.42290342,0.12291594
80,0.00046337,0.00040994,0.46949008,0.00095564,0.37746593,0.53085401,0.58537513,0.07232601,0.42507464,0.05472177
81,0.00139011,0.0030943,0.57275443,0.0023535,0.45365455,0.4990285,0.45035531,0.00877986,0.42564463,0.08546114
82,0.00141725,0.00049697,0.43866012,0.00304223,0.02574515,0.49344294,0.48634894,0.20823997,0.42812822,0.12658402
83,0.00122531,0.00845895,0.35651803,0.05255079,0.16953461,0.00547812,0.4246992,0.01508877,0.42824028,0.10078949
84,0.00293919,0.0003233,0.41337743,7.38E-06,0.43735566,0.41792754,0.40584154,0.00210544,0.4312918,0.06197011
85,0.00075128,0.00345907,0.20983572,0.00262922,0,0.50048737,0.49685301,0.04924363,0.4313158,0.19201445
86,0.00112449,0.00069448,0.25784084,0.00368948,0,0.47588593,0.46180674,0.03068219,0.43258444,0.16811236
87,0.00032572,0.00160202,0.27298912,0.00073573,0.44931028,0.50525833,0.53593778,0.03623041,0.43318445,0.03392896
88,0.00067954,0.00652457,0.53616386,0.00215093,0.39110577,0.49305844,0.47797281,0.00686388,0.43550175,0.10652375
89,0.00019291,0.00023542,0.80104545,0.00134477,0.14659883,0.51003224,0.50545217,0.30550964,0.43650523,0.06802018
90,0.00202602,0.0020216,0.25346704,3.47E-05,0.25939522,0.50596085,0.49594094,0.02814817,0.43762838,0.15695356
91,0.00721032,0.00939139,0.45594197,0.20004165,0.24849876,0.4646305,0.47394164,0.05645086,0.43876375,0.0607846
92,0.00071347,0.00654747,0.24269255,0.00120843,0.13416733,0.51169702,0.50114855,0.00336372,0.44017743,0.13497006
93,0.00360128,0.00053872,0.19991466,0.00087498,0.35535637,1,0.5134336,0.00806432,0.44059423,0.06760903
94,0.00080653,0.00209831,0.37006614,0.00201142,0.42667817,0.51362825,0.55795575,0.12408101,0.44129265,0.12456254
95,0.0037021,0.00047504,0.30264562,9.20E-05,0.48572149,0.50802224,0.53238966,0.00942727,0.44148531,0.14916066
96,0.00134454,0.0005758,0.19991466,0.00154554,0,0.48217773,0.47496427,0.03162029,0.44263522,0.31313648
97,0.00028306,0.00307343,0.40847024,0.01739623,0.09701499,0.46703332,0.47170946,0.08044574,0.44329322,0.13863122
98,0.00019485,0.00561206,0.57990186,0.07304442,0.4124356,0.52600507,0.61599904,0.08584425,0.44368273,0.11382404
99,0.00565154,0.00075804,0.26701515,0.00313698,0.0787576,0.44241594,0.46820442,0.02730333,0.44500123,0.17567801
100,0.000855,0.002406,0.56742053,0.02022124,0.42204156,0.47245466,0.44107596,0.03142707,0.44550613,0.21363649
101,0.00147735,0.00029874,0.46340943,0.00231064,0.44173056,0.47460005,0.46316259,0.02592406,0.44644653,0.17267282
102,0.03720033,0.06202719,0.37614679,0.16616382,0.22945044,0.49359516,0.48982977,0.00366994,0.44650181,0.08466787
103,0.00784333,0.00057415,0.20055473,5.82E-07,0.24213812,0.5119467,0.49420928,0.00361055,0.44668026,0.15773505
104,0.00072995,0.01447653,0.3556646,0.03841469,0.46521431,0.53469138,0.54583305,0.00390446,0.44855271,0.10629367
105,0.00042556,0.00037777,0.19991466,0.00041593,0.47893994,0.517927,0.57276496,0.01216825,0.44856209,0.0603234
106,0.00237791,0.0066536,0.39993599,0.00163951,0.18074324,0.49791862,0.48663734,0.0016815,0.44923329,0.06280227
107,0.00154133,0.00016668,0.22423725,0.00016067,0.45116887,0.500038,0.49257335,0.04225605,0.44960195,0.12193844
108,0.0005099,0.00011803,0.65318967,0.0002559,0.36553846,0.50032795,0.49143902,0.12617932,0.4496163,0.0687173
109,0.00072413,0.00033236,0.43823341,0.00117244,0.45002005,0.50650852,0.5033868,0.04674888,0.44962543,0.11961057
110,0.00012874,0.00019818,0.73447834,0.00019543,0.47230491,0.48469199,0.46686429,0.09061561,0.44998809,0.08701819
111,0.00771634,0.00133481,0.56955409,0.00313427,0.39481524,0.43396829,0.43321623,0.00271514,0.45084847,0.40888948
112,0.00481011,0.00857435,0.56069981,0.04270079,0.44156258,0.50933803,0.50443461,0.01327883,0.45130471,0.4305425
113,0.00405593,0.00049747,0.63601451,0.00300524,0,0.48070883,0.48647349,0.05405176,0.45149724,0.06230941
114,0.00067373,0.00815926,0.19991466,0.00400909,0.42991161,0.50907197,0.48231273,0.00938775,0.4517442,0.07720026
115,0.00091704,0.00024873,0.45519522,0.00036864,0.46328224,0.48272395,0.44812716,0.00756011,0.45360552,0.08538159
116,0.0010547,0.00121398,0.2006614,0.00100579,0,0.14153627,0.46435094,0.00281535,0.4554299,0.20365712
117,0.00780165,0.00157206,0.56624707,0.00282251,0.45649038,0.54147534,0.52424383,0.00660609,0.45656643,0.14347424
118,0.00075515,0.00410036,0.26274803,0.01531345,0.42352795,0.49757273,0.4899556,0.00322117,0.458417,0.23867936
119,0.00143276,0.00104936,0.34446341,0.00119556,0.25984888,0.51067686,0.48424057,0.01318309,0.46005441,0.12028924
120,0.00428082,0.00040747,0.5481118,0.00093285,0.44841514,0.47716319,0.4648841,0.00921145,0.46038045,0.16290433
121,0.0002976,0.00054712,0.09035631,0.00030165,0.25450073,0.47366598,0.48590374,0.07450671,0.46041707,0.13457148
122,0.00139883,0.0004568,0.58128867,0.00132072,0.45953142,0.51780522,0.52624935,0.00725077,0.46048532,0.0715332
123,8.43E-05,0.00012472,0.19991466,0.00034564,0.42766939,0.50351058,0.50208345,0.18337481,0.46146194,0.03756001
124,0.0023721,0.00629363,0.56411351,0.15755439,0.48579245,0.51701556,0.55307908,0.00113357,0.46351352,0.20639549
125,0.00176623,0.0007014,0.4431406,0.00212522,0.3874693,0.49382464,0.49233645,0.04584357,0.46462914,0.23423725
126,0.00038485,0.00090763,0.28088329,0.00134371,0.43340161,0.50122478,0.483085,0.02223545,0.46533146,0.12006788
127,0.0006272,0.0252568,0.32664818,0.04544106,0.395631,0.53541502,0.58874915,0.01831852,0.46598974,0.12686681
128,0.00135424,0.00035216,0.67985919,0.00050316,0.42575366,0.50140683,0.49897333,0.18041897,0.46663451,0.15437255
129,0.00039939,0.0077089,0.53520376,0.02794182,0.44559647,0.47344413,0.46259155,0.00414863,0.46734637,0.11114544
130,0.0011274,0.00064288,0.24535951,0.00053068,0.26966799,0.55184107,0.50918959,0.09091035,0.46789567,0.07036582
131,0.00134357,0.00461532,0.62662684,0.00153025,0.44461373,0.50787903,0.50432167,0.00851733,0.46814166,0.16958809
132,0.00171388,0.00325627,0.63601451,0.01938894,0.45706348,0.47551213,0.45725322,0.0071734,0.46851831,0.12632379
133,0.0008424,0.00065848,0.29965863,6.20E-05,0.49374916,0.52614696,0.70771236,0.00130261,0.46986613,0.12690016
134,0.00027725,0.00040309,0.38980158,0.00096607,0.46918463,0.47167701,0.47811503,0.01592061,0.47011938,0.09616158
135,0.0007474,0.00101293,0.3527843,0.00403019,0.47053471,0.51718759,0.52942791,0.02000722,0.47043067,0.1396772
136,0.00529287,0.01041741,0.49690634,0.00408083,0.42841049,0.52566446,0.55257563,0.00810398,0.4708148,0.1077741
137,0.01526789,0.00097497,0.62033284,0.00264373,0.43740012,0.48342858,0.47438446,0.01516164,0.470993,0.1189652
138,0.00075031,0.00139669,0.25880094,0.00242166,0.13512696,0.54704238,0.5602519,0.03458997,0.4711051,0.10842916
139,0.00057582,0.00026578,0.38393429,0.00044878,0.10935247,0.51380302,0.50620278,0.23133328,0.47230199,0.1323927
140,0.00062623,0.00048581,0.64913591,0.00208639,0.41551144,0.49943125,0.49671669,0.13929758,0.4725978,0.10713597
141,0.00016577,0.00073309,0.50010668,0.00587451,0.47645231,0.52019005,0.5621696,0.09737399,0.47276282,0.0706112
142,0.00246322,0.00325534,0.50810753,0.01962791,0.46931281,0.52521206,0.49944017,0.00569663,0.4727637,0.10695936
143,0.00028112,0.00039659,0.41369746,0.00079283,0.46438514,0.52502448,0.54494103,0.04470573,0.4732233,0.08061404
144,5.33E-05,0.00021296,0.83166204,0.00018866,0.43497848,0.50539121,0.4932164,0.30880017,0.47395426,0.07578902
145,0.00144439,0.00051712,0.34040964,0.00049881,0.36082519,0.51597643,0.50512201,0.03207336,0.47404992,0.10916976
146,0.00233041,0.00067949,0.34200981,0.00665273,0,0.50935896,0.50555536,0.04897172,0.47432233,0.44868789
147,0.00164699,0.05398646,0.46255601,0.2524865,0.40859987,0.54052,0.53054658,0.00696304,0.47467715,0.12278313
148,0.00145312,0.00199432,0.32387455,0.00701814,0.48482021,0.51014991,0.51950695,0.00283155,0.47498212,0.18962916
149,0.00046822,0.00192993,0.43449968,0.00294626,0.47219992,0.50330127,0.54952406,0.03038828,0.47527506,0.13219923
150,0.00066112,0.0017069,0.49413271,0.02297071,0.4475135,0.52216009,0.53322483,0.21400594,0.47534784,0.09072164
151,0.00097133,0.00032581,0.38649456,0.00019323,0.46867216,0.48241144,0.47439445,0.01868051,0.47583509,0.09995012
152,0.00133291,0.00065541,0.20290164,1.41E-05,0.43390037,0.47802709,0.48104448,0.03050167,0.47649203,0.14280688
153,0.00050602,0.00051385,0.63153403,0.00067794,0.42745547,0.45032358,0.47522148,0.04418227,0.47756006,0.16166139
154,0.00172261,0.00205417,0.47791765,0.0112638,0.47344479,0.50087725,0.48516144,0.01004815,0.47768137,0.09057759
155,0.00044204,0.00034763,0.20226158,1.16E-06,0.49539147,0.49770217,0.4860325,0.00345805,0.47874595,0.12364368
156,0.00196398,0.00024705,0.23885214,3.16E-05,0.48469149,0.50935494,0.51793278,0.04043144,0.47875664,0.13263596
157,0.00061556,0.00079413,0.57083422,0.00466586,0.46351891,0.46972837,0.46348897,0.01294307,0.47936548,0.14758673
158,0.01820611,0.00520885,0.19991466,0.00173497,0.4354119,0.43459912,0.47419305,0.00240099,0.47986731,0.09748401
159,0.00210842,0.00068532,0.39812247,0.00379751,0.46738776,0.51212213,0.50163325,0.02530858,0.48010554,0.16873962
160,0.001995,0.00066067,0.30541925,0.00015835,0.48589706,0.51366054,0.49411859,0.01893877,0.4801991,0.10873018
161,0.00281317,0.00590573,0.27778963,0.00061216,0.47135164,0.52525699,0.54803668,0.01486832,0.48076327,0.10194421
162,0.00176623,0.0002908,0.52549605,0.00019716,0.47230566,0.47949326,0.47903333,0.00752179,0.48100421,0.135465
163,0.0018496,0.02105619,0.58768935,0.02063083,0.46772814,0.52084925,0.5235506,0.00486079,0.48126361,0.10657423
164,0.00316215,0.00562608,0.44922125,0.00430405,0.4386211,0.52662641,0.50762927,0.00747099,0.48257072,0.21028722
165,0.00112061,0.00286811,0.38084062,0.03912095,0.41972776,0.4905306,0.49097518,0.05312211,0.48257415,0.13444462
166,0.00033444,0.0011776,0.46788991,0.00244091,0.45798853,0.52901307,0.53267523,0.09417576,0.48267523,0.21388931
167,0.00369434,0.02043483,0.23970557,0.03604235,0.48627093,0.5032548,0.48689764,0.00474116,0.48326215,0.14342695
168,0.0003422,0.00025475,0.60113079,3.74E-06,0.47968009,0.51451305,0.49986835,0.00869697,0.48387238,0.08082477
169,0.00210261,0.04240305,0.05504587,0.02354072,0.35096933,0.44988899,0.47645778,0.03314224,0.48392421,0.22076782
170,0.00033735,0.0005188,0.37347984,0.00090321,0.36430745,0.48923936,0.4984755,0.02538353,0.4840792,0.17071306
171,0.00093255,0.00038239,0.19991466,8.46E-05,0.48433474,0.63127263,0.50517981,0.00397036,0.48431766,0.11111301
172,0.01220946,0.00092626,0.4543418,0.00057891,0.43588522,0.50898691,0.50230275,0.010303,0.48552558,0.17284725
173,0.00812736,0.0906295,0.66556433,0.70031739,0.44833003,0.5305089,0.5232992,0.03789127,0.48574665,0.21743322
174,0.00313307,0.00066703,0.33539578,0.00367284,0.41216406,0.51549148,0.50393254,0.01560587,0.4863249,0.15735923
175,0.00603833,0.00049448,0.33475571,0.00021701,0.41783031,0.49750708,0.49534349,0.00571238,0.48663927,0.0879396
176,0.00076485,0.00031686,0.19991466,1.23E-06,0.43842689,0.508475,0.48249106,0.01575279,0.48673553,0.10934401
177,0.00145021,0.00043975,0.24482612,0.00088053,0.48841627,0.51682676,0.51781155,0.00795996,0.48690395,0.09699398
178,0.00079975,0.00719494,0.61521229,0.06556136,0.25680705,0.54051069,0.54407005,0.03534808,0.48731376,0.22181998
179,0.0014948,0.00058791,0.27138895,0.00056827,0.4183765,0.49482746,0.49152614,0.17035926,0.48734253,0.11299852
180,0.00015491,0.00046468,0.50586729,0.00021395,0.48333459,0.50837426,0.50564652,0.01569064,0.48766623,0.15866876
181,0.0041994,0.000497,0.20684873,0.00082291,0.476364,0.5095947,0.45318458,0.00750674,0.48817793,0.10756762
182,0.00073771,0.00206246,0.3396629,0.00389523,0.49914694,0.50334497,0.50335964,0.00308622,0.48895382,0.08753101
183,0.012604,0.00511402,0.49349264,0.00226376,0.47685107,0.51789329,0.57394805,0.00717235,0.48944208,0.11777103
184,0.00444756,0.00037933,0.32792831,0.00020053,0.48684251,0.49747109,0.46914756,0.01112346,0.48959917,0.18659167
185,0.02177734,0.01080379,0.21772989,0.00433156,0.46049299,0.5001004,0.49872603,0.01068104,0.48987411,0.16498734
186,0.00677894,0.00013824,0.3240879,9.67E-06,0.48446169,0.50063812,0.49175078,0.01249325,0.48996025,0.07391119
187,0.00260281,0.00732072,0.56454022,0.03935253,0.4748998,0.5046354,0.50176166,0.00999621,0.49015393,0.24271299
188,0.00110123,0.00036284,0.19991466,0.0004181,0.46167434,0.53802794,0.52276329,0.03160889,0.49039867,0.08457801
189,0.00111577,0.00410297,0.42831235,0.01038681,0.48101854,0.53020885,0.53199685,0.0497771,0.4917252,0.12926057
190,0.00022955,0.00021835,0.41817794,3.00E-05,0.47821011,0.53623609,0.52697263,0.00888163,0.49184885,0.0167267
191,0.00051475,0.00035975,0.22007681,0.00011815,0.49491737,0.50794399,0.47247102,0.0037033,0.49201397,0.15172852
192,0.00143664,0.00337747,0.59216983,0.0110941,0.46717528,0.50020934,0.49105306,0.01245335,0.49205701,0.25439862
193,0.00372924,0.00057258,0.24951995,0.00046153,0.42106602,0.49453798,0.49809578,0.05952007,0.4921619,0.11713458
194,0.00207546,0.00093597,0.26861532,0.00208427,0.47708949,0.52111575,0.51774246,0.04666081,0.49224606,0.22665783
195,0.0017672,0.00056389,0.19991466,0.00021265,0.42380844,0.5154921,0.50228423,0.03785486,0.49249066,0.12965685
196,0.00079102,0.00065999,0.37209302,0.00109753,0.45023364,0.54072782,0.61192272,0.07431691,0.49256401,0.0680299
197,0.00076582,0.0036936,0.47781097,0.01388829,0.48657438,0.51919514,0.52262225,0.00951647,0.49260423,0.35700977
198,0.0028597,0.00100279,0.34851718,0.00504673,0.44389893,0.51858134,0.5067989,0.06239019,0.49271951,0.19593107
199,0.00689042,0.00103356,0.20098144,0.00110822,0.48828406,0.51895397,0.51578499,0.01296832,0.49282952,0.16073922
200,0.01748876,0.0020141,0.20002134,0.02794182,0.34197283,0.52190068,0.50757179,0.00261852,0.49293851,0.16667605
201,0.01365094,0.02494531,0.42361852,0.12992823,0.48411033,0.53161136,0.53549318,0.00571439,0.49307273,0.23787134
202,0.00263674,0.0003988,0.35737145,0.00013815,0.49853898,0.51382006,0.43455355,0.0047712,0.49350691,0.13046507
203,0.01493926,0.00174033,0.55504587,0.02336993,0.46629057,0.53557485,0.50920965,0.01501199,0.49358364,0.5270699
204,0.00120689,0.00049623,0.42223171,0.00259681,0.48658742,0.5411226,0.56539173,0.1128821,0.49377143,0.10648878
205,0.00917236,0.00095121,0.23458502,0.00034755,0.48376406,0.48065152,0.4901433,0.01837285,0.49379672,0.08250327
206,0.00053898,0.00040889,0.5150416,0.00158536,0.48805956,0.54786485,0.53490288,0.0563389,0.4941445,0.10669661
207,2.31E-05,0.00015822,0.64241519,0.0001311,0.49552416,0.49906839,0.49813115,0.0170996,0.49433082,0.03870176
208,0.00025689,0.00057815,0.33571581,0.00125099,0.45892775,0.54146025,0.5100225,0.04452669,0.49463921,0.09042182
209,0.0042847,0.00163802,0.28323021,0.00101218,0.4703424,0.53471655,0.52803331,0.03677708,0.49478965,0.11842151
210,6.49E-05,0.00015339,0.37956049,1.01E-05,0.46469757,0.47806797,0.49173492,0.25444694,0.49535359,0.04898826
211,0.00162567,0.00941275,0.20130147,0.00677707,0.47683553,0.53417025,0.51693805,0.01474236,0.49567154,0.14203344
212,0.00123403,0.00028832,0.26669511,9.42E-05,0.48543013,0.52289783,0.51257394,0.07095463,0.49576706,0.1166318
213,0.00091413,0.00067058,0.38393429,0.0003731,0.47881694,0.52423567,0.49823193,0.00926449,0.49586844,0.1283192
214,0.0007726,0.00038053,0.47493066,0.00054238,0.4958164,0.51457201,0.51691298,0.01613259,0.49597887,0.17476098
215,0.00170806,0.00049011,0.46479625,0.00078601,0.49102132,0.53218016,0.57831886,0.08837212,0.4960417,0.08103669
216,0.00210164,0.00150135,0.20002134,0.00160491,0.49717968,0.5213021,0.54829781,0.00399167,0.49604891,0.1425132
217,0.00129123,0.00050466,0.49391935,0.00981093,0.47051262,0.50815313,0.49614316,0.05161401,0.49617971,0.12915327
218,0.00067276,0.00116824,0.23181139,0.00090818,0.48302399,0.51489218,0.49209445,0.05818869,0.49655317,0.1290946
219,0.00141919,0.01495381,0.33976958,0.20575504,0.49694589,0.52547062,0.57085039,0.03190282,0.49656404,0.1031248
220,0.00015026,0.00113521,0.26616172,0.00012466,0.49547527,0.52429621,0.54525484,0.06473188,0.49675624,0.10246865
221,0.0111441,0.00182688,0.41273736,0.0403288,0.48838061,0.55558018,0.53871502,0.00364913,0.49686203,0.2978986
222,0,0.00049875,0.50800085,0.00011617,0.45097778,0.56559313,0.51768312,0.24292702,0.49692215,0.047705
223,0.00150352,0.00035511,0.40004267,0.00076116,0.48515804,0.51652057,0.50427215,0.07279152,0.49725188,0.12012056
224,0.00210164,0.00043632,0.48218477,0.00143566,0.48791926,0.51610781,0.50744323,0.05241509,0.49728604,0.15366317
225,0.00029857,0.00228121,0.47269042,0.00411517,0.49403972,0.51515543,0.53242345,0.05248131,0.49735752,0.10290096
